lnths	lnemp	mico	mppa	mgfa	s	t
6.429719	12.9382	1	0	0	1	1
6.251904	12.94395	1	0	0	1	2
6.104793	12.9461	1	0	0	1	3
6.109248	12.93724	1	0	0	1	4
6.115892	12.95984	1	0	0	1	5
6.824374	13.0074	1	0	0	1	6
7.357556	13.0355	1	0	0	1	7
7.504942	13.07611	1	0	0	1	8
7.736743	13.12456	1	0	0	1	9
7.778212	13.17515	1	0	0	1	10
7.99193	13.20265	1	0	0	1	11
8.14584	13.18984	1	0	0	1	12
8.024862	13.14881	1	0	0	1	13
8.218248	13.14588	1	0	0	1	14
8.513988	13.16043	1	0	0	1	15
8.883502	13.18365	1	0	0	1	16
8.869679	13.19599	1	0	0	1	17
6.620073	12.84397	0	1	1	2	1
7.467371	12.86204	0	1	1	2	2
7.033506	12.88563	0	1	1	2	3
7.086738	12.88512	0	1	1	2	4
6.856462	12.92269	0	1	1	2	5
7.153834	12.99793	0	1	1	2	6
7.5148	13.05194	0	1	1	2	7
7.877018	13.10236	0	1	1	2	8
7.767264	13.14764	0	1	1	2	9
8.194229	13.17874	1	1	1	2	10
8.189244	13.17893	1	1	1	2	11
8.027476	13.13824	1	1	1	2	12
7.886081	13.08591	1	1	1	2	13
8.494129	13.09602	1	1	1	2	14
9.336267	13.12715	1	1	1	2	15
9.474856	13.16753	1	1	1	2	16
9.465137	13.19877	1	1	1	2	17
3.912023	12.19552	0	0	0	3	1
3.912023	12.20657	0	0	0	3	2
5.164786	12.22734	0	0	0	3	3
5.164786	12.22047	0	0	0	3	4
5.164786	12.23757	0	0	0	3	5
5.164786	12.27793	0	0	0	3	6
5.697093	12.32252	1	0	0	3	7
5.891644	12.36478	1	1	0	3	8
6.553934	12.41146	1	1	0	3	9
6.672033	12.45332	1	1	0	3	10
6.656726	12.47534	1	1	0	3	11
6.864848	12.45877	1	1	0	3	12
6.945051	12.42481	1	1	0	3	13
7.222566	12.43321	1	1	0	3	14
7.50769	12.45761	1	1	0	3	15
7.654443	12.48295	1	1	0	3	16
7.594884	12.50618	1	1	0	3	17
9.690542	14.77237	0	0	1	4	1
9.722625	14.79169	0	1	1	4	2
9.774005	14.79826	0	1	1	4	3
9.812687	14.78705	0	1	1	4	4
9.629511	14.80747	0	1	1	4	5
9.769957	14.86486	0	1	1	4	6
10.14176	14.89051	0	1	1	4	7
10.18547	14.91038	0	1	1	4	8
10.33322	14.93582	0	1	1	4	9
10.65768	14.9568	1	1	1	4	10
10.6703	14.94968	1	1	1	4	11
10.44103	14.90904	1	1	1	4	12
